date,buy,sell
2024-01-25,15640.41,15797.59
2024-01-24,15577.72,15734.28
2024-01-23,15548.86,15705.14
2024-01-22,15549.86,15706.14
2024-01-19,15551.85,15708.15
2024-01-18,15560.81,15717.19
2024-01-17,15514.04,15669.96
2024-01-16,15477.23,15632.77
2024-01-15,15481.2,15636.8
2024-01-12,15480.21,15635.79
2024-01-11,15490.16,15645.84
2024-01-10,15440.41,15595.59
2024-01-09,15444.39,15599.61
2024-01-08,15440.41,15595.59
2024-01-05,15447.38,15602.63
2024-01-04,15417.52,15572.48
2024-01-03,15395.64,15550.36
2024-01-02,15361.81,15516.19
2023-12-29,15338.92,15493.08
2023-12-28,15336.93,15491.07
2023-12-27,15411.56,15566.44
2023-12-22,15455.33,15610.67
2023-12-21,15434.44,15589.56
2023-12-20,15428.47,15583.53
2023-12-19,15438.42,15593.58
2023-12-18,15425.49,15580.51
2023-12-15,15415.53,15570.47
2023-12-14,15550.85,15707.15
2023-12-13,15552.84,15709.16
2023-12-12,15535.93,15692.07
2023-12-11,15422.5,15577.5
2023-12-08,15458.32,15613.68
2023-12-07,15426.48,15581.52
2023-12-06,15426.48,15581.52
2023-12-05,15368.77,15523.23
2023-12-04,15446.38,15601.62
2023-12-01,15406.58,15561.42
2023-11-30,15307.08,15460.92
2023-11-29,15372.75,15527.25
2023-11-28,15449.36,15604.64
2023-11-27,15509.07,15664.93
2023-11-24,15515.03,15670.97
2023-11-23,15506.08,15661.92
2023-11-22,15358.82,15513.18
2023-11-21,15341.91,15496.09
2023-11-20,15426.48,15581.52
2023-11-17,15517.02,15672.98
2023-11-16,15425.49,15580.51
2023-11-15,15620.5,15777.5
2023-11-14,15634.43,15791.57
2023-11-13,15614.53,15771.47
2023-11-10,15570.75,15727.25
2023-11-09,15550.85,15707.15
2023-11-08,15515.03,15670.97
2023-11-07,15472.25,15627.75
2023-11-06,15692.15,15849.85
2023-11-03,15781.69,15940.31
2023-11-02,15866.27,16025.73
2023-11-01,15817.51,15976.49
2023-10-31,15836.42,15995.58
2023-10-30,15861.3,16020.7
2023-10-27,15853.33,16012.67
2023-10-26,15791.65,15950.35
2023-10-25,15789.66,15948.34
2023-10-24,15863.28,16022.72
2023-10-23,15776.72,15935.28
2023-10-20,15758.81,15917.19
2023-10-19,15652.34,15809.66
2023-10-18,15639.41,15796.59
2023-10-17,15637.42,15794.58
2023-10-16,15630.45,15787.55
2023-10-13,15623.49,15780.51
2023-10-12,15631.45,15788.55
2023-10-11,15629.46,15786.54
2023-10-10,15596.63,15753.38
2023-10-09,15549.86,15706.14
2023-10-06,15523.0,15679.0
2023-10-05,15557.82,15714.18
2023-10-04,15522.0,15678.0
2023-10-03,15441.41,15596.59
2023-10-02,15409.57,15564.43
2023-09-29,15448.37,15603.63
2023-09-27,15386.68,15541.32
2023-09-26,15322.0,15476.0
2023-09-25,15306.08,15459.92
2023-09-22,15320.01,15473.99
2023-09-21,15319.02,15472.98
2023-09-20,15304.09,15457.91
2023-09-19,15296.14,15449.86
2023-09-18,15290.17,15443.83
2023-09-15,15280.22,15433.78
2023-09-14,15290.17,15443.83
2023-09-13,15267.28,15420.72
2023-09-12,15275.24,15428.76
2023-09-11,15264.3,15417.7
2023-09-08,15257.33,15410.67
2023-09-07,15230.47,15383.53
2023-09-06,15183.7,15336.3
2023-09-05,15170.76,15323.24
2023-09-04,15175.74,15328.26
2023-09-01,15160.82,15313.18
2023-08-31,15162.81,15315.19
2023-08-30,15186.68,15339.32
2023-08-29,15217.53,15370.47
2023-08-28,15220.51,15373.49
2023-08-25,15176.74,15329.26
2023-08-24,15242.41,15395.59
2023-08-23,15249.37,15402.63
2023-08-22,15252.35,15405.65
2023-08-21,15231.46,15384.54
2023-08-18,15231.46,15384.54
2023-08-16,15269.27,15422.73
2023-08-15,15246.39,15399.61
2023-08-14,15148.88,15301.13
2023-08-11,15127.98,15280.02
2023-08-10,15129.97,15282.03
2023-08-09,15152.85,15305.15
2023-08-08,15102.11,15253.89
2023-08-07,15092.16,15243.84
2023-08-04,15122.01,15273.99
2023-08-03,15095.15,15246.85
2023-08-02,15041.42,15192.58
2023-08-01,15016.54,15167.46
2023-07-31,15007.58,15158.42
2023-07-28,14927.99,15078.01
2023-07-27,14956.84,15107.16
2023-07-26,14931.97,15082.03
2023-07-25,14952.86,15103.14
2023-07-24,14950.87,15101.13
2023-07-21,14916.05,15065.95
2023-07-20,14919.03,15068.97
2023-07-18,14931.97,15082.03
2023-07-17,14870.27,15019.73
2023-07-14,14903.11,15052.89
2023-07-13,15008.58,15159.42
2023-07-12,15086.19,15237.81
2023-07-11,15116.04,15267.96
2023-07-10,15060.32,15211.68
2023-07-07,14986.69,15137.31
2023-07-06,14937.93,15088.07
2023-07-05,14942.91,15093.09
2023-07-04,14958.83,15109.17
2023-07-03,14925.0,15075.0
2023-06-27,14950.87,15101.13
2023-06-26,14923.01,15072.99
2023-06-23,14843.41,14992.59
2023-06-22,14907.09,15056.91
2023-06-21,14964.8,15115.2
2023-06-20,14919.03,15068.97
2023-06-19,14870.27,15019.73
2023-06-16,14868.28,15017.72
2023-06-15,14820.52,14969.48
2023-06-14,14793.66,14942.34
2023-06-13,14799.63,14948.37
2023-06-12,14778.74,14927.26
2023-06-09,14828.49,14977.51
2023-06-08,14800.63,14949.38
2023-06-07,14764.81,14913.19
2023-06-06,14813.56,14962.44
2023-06-05,14927.99,15078.01
2023-05-31,14894.16,15043.84
2023-05-30,14898.14,15047.86
2023-05-29,14884.2,15033.8
2023-05-26,14877.24,15026.76
2023-05-25,14830.48,14979.52
2023-05-24,14803.61,14952.39
2023-05-23,14822.51,14971.49
2023-05-22,14861.32,15010.68
2023-05-19,14800.63,14949.38
2023-05-17,14735.95,14884.05
2023-05-16,14737.94,14886.06
2023-05-15,14678.24,14825.76
2023-05-12,14648.39,14795.61
2023-05-11,14672.27,14819.73
2023-05-10,14683.22,14830.78
2023-05-09,14635.45,14782.55
2023-05-08,14600.63,14747.37
2023-05-05,14558.84,14705.16
2023-05-04,14632.47,14779.53
2023-05-03,14629.49,14776.51
2023-05-02,14587.69,14734.31
2023-04-28,14677.25,14824.75
2023-04-27,14807.59,14956.41
2023-04-26,14780.73,14929.27
2023-04-18,14699.14,14846.86
2023-04-17,14592.67,14739.33
2023-04-14,14718.04,14865.96
2023-04-13,14791.67,14940.33
2023-04-12,14813.56,14962.44
2023-04-11,14830.48,14979.52
2023-04-10,14868.28,15017.72
2023-04-06,14858.33,15007.67
2023-04-05,14838.43,14987.57
2023-04-04,14915.05,15064.95
2023-04-03,14902.11,15051.89
2023-03-31,14986.69,15137.31
2023-03-30,15018.53,15169.47
2023-03-29,15012.56,15163.44
2023-03-28,15098.13,15249.87
2023-03-27,15113.06,15264.94
2023-03-24,15272.25,15425.75
2023-03-21,15295.14,15448.86
2023-03-20,15287.18,15440.82
2023-03-17,15340.91,15495.09
2023-03-16,15288.17,15441.83
2023-03-15,15303.1,15456.9
2023-03-14,15297.13,15450.87
2023-03-13,15390.66,15545.34
2023-03-10,15360.81,15515.19
2023-03-09,15373.75,15528.25
2023-03-08,15282.2,15435.8
2023-03-07,15224.5,15377.5
2023-03-06,15229.47,15382.53
2023-03-03,15196.64,15349.36
2023-03-02,15173.75,15326.25
2023-03-01,15163.8,15316.2
2023-02-28,15197.63,15350.37
2023-02-27,15139.92,15292.08
2023-02-24,15111.07,15262.93
2023-02-23,15141.91,15294.09
2023-02-22,15103.1,15254.9
2023-02-21,15092.16,15243.84
2023-02-20,15123.0,15275.0
2023-02-17,15100.12,15251.88
2023-02-16,15118.03,15269.97
2023-02-15,15092.16,15243.84
2023-02-14,15139.92,15292.08
2023-02-13,15064.3,15215.7
2023-02-10,15044.4,15195.6
2023-02-09,15046.39,15197.61
2023-02-08,15063.31,15214.69
2023-02-07,14979.73,15130.27
2023-02-06,14823.51,14972.49
2023-02-03,14793.66,14942.34
2023-02-02,14916.05,15065.95
2023-02-01,14917.04,15066.96
2023-01-31,14904.1,15053.9
2023-01-30,14903.11,15052.89
2023-01-27,14889.18,15038.82
2023-01-26,14883.21,15032.79
2023-01-25,14855.35,15004.65
2023-01-24,15045.4,15196.6
2023-01-20,15037.43,15188.57
2023-01-19,15061.32,15212.68
2023-01-18,15078.23,15229.77
2023-01-17,14943.91,15094.09
2023-01-16,15101.11,15252.89
2023-01-13,15289.17,15442.83
2023-01-12,15449.36,15604.64
2023-01-11,15511.06,15666.94
2023-01-10,15496.13,15651.87
2023-01-09,15556.83,15713.17
2023-01-06,15531.95,15688.05
2023-01-05,15536.92,15693.08
2023-01-04,15512.05,15667.95
2023-01-03,15494.14,15649.86
2023-01-02,15514.04,15669.96
2022-12-30,15652.34,15809.66
2022-12-29,15624.49,15781.51
2022-12-28,15580.7,15737.3
2022-12-27,15557.82,15714.18
2022-12-26,15526.98,15683.02
2022-12-23,15516.03,15671.97
2022-12-22,15523.0,15679.0
2022-12-21,15529.96,15686.04
2022-12-20,15542.9,15699.1
2022-12-19,15538.92,15695.08
2022-12-16,15551.85,15708.15
2022-12-15,15540.91,15697.09
2022-12-14,15582.69,15739.31
2022-12-13,15563.79,15720.21
2022-12-12,15509.07,15664.93
2022-12-09,15545.88,15702.12
2022-12-08,15540.91,15697.09
2022-12-07,15498.12,15653.88
2022-12-06,15331.95,15486.05
2022-12-05,15351.85,15506.15
2022-12-02,15538.92,15695.08
2022-12-01,15663.29,15820.71
2022-11-30,15658.32,15815.68
2022-11-29,15650.35,15807.65
2022-11-28,15589.66,15746.34
2022-11-25,15568.76,15725.24
2022-11-24,15621.5,15778.5
2022-11-23,15637.42,15794.58
2022-11-22,15628.47,15785.53
2022-11-21,15613.54,15770.46
2022-11-18,15608.57,15765.43
2022-11-17,15531.95,15688.05
2022-11-16,15486.18,15641.82
2022-11-15,15421.5,15576.5
2022-11-14,15415.53,15570.47
2022-11-11,15622.5,15779.5
2022-11-10,15575.73,15732.27
2022-11-09,15605.58,15762.42
2022-11-08,15613.54,15770.46
2022-11-07,15657.32,15814.68
2022-11-04,15602.59,15759.41
2022-11-03,15573.74,15730.26
2022-11-02,15568.76,15725.24
2022-11-01,15518.02,15673.98
2022-10-31,15464.29,15619.71
2022-10-28,15495.14,15650.86
2022-10-27,15518.02,15673.98
2022-10-26,15537.92,15694.08
2022-10-25,15512.05,15667.95
2022-10-24,15531.95,15688.05
2022-10-21,15501.1,15656.9
2022-10-20,15413.55,15568.45
2022-10-19,15391.66,15546.34
2022-10-18,15402.6,15557.4
2022-10-17,15313.05,15466.95
2022-10-14,15280.22,15433.78
2022-10-13,15296.14,15449.86
2022-10-12,15285.19,15438.81
2022-10-11,15222.5,15375.5
2022-10-10,15169.77,15322.23
2022-10-07,15121.01,15272.99
2022-10-06,15120.02,15271.98
2022-10-05,15199.62,15352.38
2022-10-04,15216.53,15369.47
2022-10-03,15155.84,15308.16
2022-09-30,15170.76,15323.24
2022-09-29,15166.78,15319.22
2022-09-28,15079.23,15230.77
2022-09-27,15043.41,15194.59
2022-09-26,14959.83,15110.17
2022-09-23,14957.83,15108.17
2022-09-22,14935.94,15086.06
2022-09-21,14900.13,15049.88
2022-09-20,14905.1,15054.9
2022-09-19,14864.31,15013.69
2022-09-16,14824.5,14973.5
2022-09-15,14848.39,14997.61
